claim_id,SSN,claim_age,patient_name,patient_id,provider_id,provider_name,claim_amount,approved_amount,claim_status,submission_date,adjudication_date,payment_date,denial_reason
CLM500000,806-63-5608,79,David Wilson,P00001,PR014,Anthem,15656,0,Denied,19-09-2024,28-09-2024,,Timely Filing Limit Exceeded
CLM500001,341-10-1231,65,Susan Taylor,P00002,PR015,Molina Healthcare,39862,27932,Approved,28-04-2024,09-05-2024,07-06-2024,
CLM500002,856-62-8239,22,Michael Wilson,P00003,PR006,Blue Cross Blue Shield,36899,25479,Approved,07-07-2024,11-07-2024,22-07-2024,
CLM500003,227-12-8424,38,Isabella Williams,P00004,PR009,Vision Service Plan,49240,40359,Approved,05-04-2024,10-04-2024,02-05-2024,
CLM500004,176-35-4417,27,Mark Davis,P00005,PR002,Medicaid,38208,35894,Approved,12-04-2024,26-04-2024,07-05-2024,
CLM500005,519-47-6983,75,Paul Moore,P00006,PR009,Vision Service Plan,26782,21949,Approved,16-05-2024,20-05-2024,29-05-2024,
CLM500006,102-72-2148,88,David Thomas,P00007,PR010,Davis Vision,50532,42953,Approved,12-06-2024,19-06-2024,01-07-2024,
CLM500007,741-54-6445,62,Olivia Garcia,P00008,PR013,Superior Vision,40640,0,Denied,22-02-2024,02-03-2024,,Invalid CPT Code
CLM500008,895-64-7141,38,Robert Garcia,P00009,PR011,Spectera,3904,3765,Approved,03-05-2024,20-05-2024,01-06-2024,
CLM500009,114-54-9043,82,Rosie Jackson,P00010,PR007,Humana,45208,43248,Approved,24-03-2024,30-03-2024,20-04-2024,
CLM500010,892-71-1940,54,Matthew Wilson,P00011,PR001,Medicare,57422,43150,Approved,02-08-2024,13-08-2024,25-08-2024,
CLM500011,991-53-3393,37,Jennifer Williams,P00012,PR012,EyeMed,49241,36353,Approved,26-09-2024,15-10-2024,22-10-2024,
CLM500012,958-56-3520,65,Rosie Miller,P00013,PR010,Davis Vision,52143,44498,Approved,01-09-2024,14-09-2024,25-09-2024,
CLM500013,382-27-1167,66,Jessica Jackson,P00014,PR011,Spectera,9749,0,Denied,15-05-2024,29-05-2024,,Coverage Not Eligible
CLM500014,972-84-7899,50,Emily Davis,P00015,PR011,Spectera,28081,0,Denied,09-03-2024,17-03-2024,,Duplicate Claim
CLM500015,196-33-1414,75,John Gonzalez,P00016,PR013,Superior Vision,10729,7420,Approved,24-05-2024,01-06-2024,17-06-2024,
CLM500016,505-73-4598,39,Jessica Hernandez,P00017,PR003,Aetna,13554,0,Denied,08-10-2024,13-10-2024,,Invalid CPT Code
CLM500017,994-17-1128,67,Karen Taylor,P00018,PR008,Kaiser Permanente,58153,53347,Approved,30-03-2024,10-04-2024,25-04-2024,
CLM500018,421-15-5009,67,Rosie Martin,P00019,PR003,Aetna,21777,21704,Approved,14-09-2024,03-10-2024,28-10-2024,
CLM500019,715-17-9326,59,John Moore,P00020,PR009,Vision Service Plan,21826,18959,Approved,14-10-2024,24-10-2024,02-11-2024,
CLM500020,306-55-2070,58,Karen Hernandez,P00021,PR011,Spectera,29043,19651,Approved,07-02-2024,25-02-2024,19-03-2024,
CLM500021,796-92-8252,78,Karen Smith,P00022,PR009,Vision Service Plan,35120,27763,Approved,25-04-2024,29-04-2024,07-05-2024,
CLM500022,143-41-5515,69,Olivia Wilson,P00023,PR012,EyeMed,29486,21605,Approved,16-07-2024,30-07-2024,21-08-2024,
CLM500023,770-20-1613,79,Joseph Ramore,P00024,PR003,Aetna,33736,29067,Approved,20-04-2024,08-05-2024,04-06-2024,
CLM500024,784-87-5295,49,Emily Martin,P00025,PR008,Kaiser Permanente,34181,29571,Approved,25-09-2024,29-09-2024,11-10-2024,
